มหาวิทยาลัย,คณะ,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,อัตราการได้งานทำ,ค่ามัธยฐานเงินเดือน,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ละติจูด,ลองจิจูด
มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"112,000",อัตราการจบการศึกษา ร้อยละ 80 ของนักศึกษาปีการศึกษา 2567,ร้อยละ 90 ของผู้จบการศึกษา,ไม่ระบุ,25,30,27,31,6.4381939,101.7767429
มหาวิทยาลัยนเรศวร,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 16,000 ต่อภาคเรียน",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,30,25,50,10,16.7479109,100.1816553
มหาวิทยาลัยบูรพา,วิศวกรรมเคมี,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ,Bachelor of Engineering Program in Chemical Engineering,ภาษาไทย ปกติ,หลัก,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,48,0,0,0,13.2859352,100.9153013
มหาวิทยาลัยพะเยา,วิศวกรรมเครื่องกล,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,https://admission.up.ac.th/uploads/admission/media/file/64ffeea4861e34SobR.pdf,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,60,50,30,0,19.0284058,99.886131
มหาวิทยาลัยมหิดล,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,ศาลายา,"30,000 ต่อภาคการศึกษา",อัตราการจบการศึกษา ร้อยละ 75.68 ของนักศึกษาปีการศึกษา 2566,ร้อยละ 83.78 ของผู้จบการศึกษา,"31,000 บาท",25,10,35,0,13.7943812,100.3153491
มหาวิทยาลัยมหาสารคาม,วิศวกรรมทั่วไป,วศ.บ. วิศวกรรมศาสตร์,B.Eng. Engineering,ภาษาไทย ปกติ,มหาสารคาม,"15,000",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,341,217,70,30,16.2439981,103.2387686
มหาวิทยาลัยแม่โจ้,เทคโนโลยีการอาหาร,วิทยาศาสตร์และเทคโนโลยีการอาหาร,Food Science and Technology,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,40,15,50,0,18.8946318,99.0005833
มหาวิทยาลัยรามคำแหง,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering (B. Eng. (Computer Engineering)),ภาษาไทย ปกติ,วิทยาเขตหลักหัวหมาก,"เทอมแรก 33,000 บาท เทอมต่อไปเทอมละ 26,000 บาท ดูรายละเอียดเพิ่มเติม http://www.eng.ru.ac.th/fee",90% - 96%,98%,"ประมาณ 25,000.-",20,20,80,20,ไม่ระบุ,ไม่ระบุ
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 32,700 ต่อภาคเรียน",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,70,40,5,1,8.6415682,99.8870841
มหาวิทยาลัยศรีนครินทรวิโรฒ,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,องครักษ์,"25,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 89.36 ของนักศึกษาปีการศึกษา 2565,ไม่ระบุ,ไม่ระบุ,38,7,15,0,ไม่ระบุ,ไม่ระบุ
